"","dataset.id","site.name","lat","long","depth","Acer","Adiantum","Alnus","Ambrosia","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Betula","Botrychium","Carya","Caryophyllaceae undiff.","Castanea","Celtis","Chenopodium","Corylus","Cyatheaceae","Cyperaceae","Diphasiastrum","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Humulus/Cannabis","Huperzia","Ilex","Iva","Juglans","Juniperus","Larix","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Platanus","Poaceae undiff.","Polygonum","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Thalictrum","Tilia","Tsuga","Ulmus","Vitis","Xanthium"
"26","15660","Buck Lake",46.520515,-86.35387,429,7,1,3,2,0,2,2,109,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,14,1,0,1,0,5,1,1,51,95,0,0,0,0,0,1,23,0,0,1,0,0,3,9,0,0
"27","15660","Buck Lake",46.520515,-86.35387,439,6,1,10,2,0,4,1,113,0,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,0,0,0,21,0,0,1,0,6,1,3,38,77,0,2,0,0,1,0,13,0,0,0,0,0,3,5,0,0
"28","15660","Buck Lake",46.520515,-86.35387,449,5,0,12,3,0,5,0,126,0,0,0,0,0,1,0,0,0,1,0,0,2,4,0,0,0,0,0,29,1,0,2,0,2,0,6,61,71,0,2,0,0,2,1,12,1,0,2,0,0,0,6,0,0
"29","15660","Buck Lake",46.520515,-86.35387,459,5,0,8,2,0,1,1,104,0,0,0,1,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,14,0,1,0,0,4,6,9,49,85,0,0,0,0,1,0,21,0,0,1,0,0,1,2,0,0
"30","15660","Buck Lake",46.520515,-86.35387,466,5,0,12,1,0,6,0,117,0,2,1,0,0,2,1,0,4,1,0,0,1,4,0,0,1,0,0,22,0,0,0,0,12,1,4,48,68,0,1,0,0,0,1,13,0,0,0,0,1,1,1,0,1
"31","15660","Buck Lake",46.520515,-86.35387,479,7,0,6,3,0,3,0,118,0,1,0,0,0,1,0,0,7,0,0,0,3,4,0,1,0,0,0,14,0,0,0,0,8,2,7,64,75,2,3,0,0,0,1,28,0,0,1,1,0,5,5,0,0
"32","15660","Buck Lake",46.520515,-86.35387,499,7,0,4,2,0,2,0,117,0,2,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,3,1,7,40,65,1,1,0,0,1,1,20,0,0,0,0,0,2,7,0,0
"33","15660","Buck Lake",46.520515,-86.35387,529,10,0,6,6,0,0,0,115,0,0,0,1,0,1,1,0,8,0,0,1,1,3,0,0,0,0,0,22,1,0,0,0,0,3,16,53,64,1,1,0,0,1,1,28,0,0,1,0,0,4,4,0,1
"34","15660","Buck Lake",46.520515,-86.35387,549,15,1,7,4,0,5,1,122,1,0,0,0,0,2,0,0,7,0,0,0,4,2,0,0,0,0,0,25,0,0,1,0,6,0,14,50,51,2,2,0,0,0,0,32,0,0,3,0,0,4,1,0,0
"35","15660","Buck Lake",46.520515,-86.35387,564,6,2,2,7,0,3,2,113,0,0,0,0,0,2,2,0,7,0,0,0,1,4,0,0,0,0,1,23,1,0,1,0,7,1,7,42,75,0,2,0,0,0,2,29,0,0,0,0,0,5,7,0,1
"36","15660","Buck Lake",46.520515,-86.35387,580,5,0,5,2,0,6,1,122,0,1,0,0,0,1,3,1,3,0,0,0,0,2,0,0,0,0,0,12,2,0,0,0,3,4,9,51,58,1,4,0,0,1,2,23,0,0,0,0,0,4,5,0,0
"37","15660","Buck Lake",46.520515,-86.35387,610,12,0,5,3,0,3,0,79,0,0,0,0,0,3,0,0,5,0,0,0,1,2,0,1,0,0,0,25,2,0,0,0,7,3,7,63,68,1,3,0,0,0,2,32,0,0,0,0,1,4,8,0,0
"38","15660","Buck Lake",46.520515,-86.35387,630,14,1,7,2,0,4,1,62,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,22,1,0,0,0,8,1,8,95,52,1,1,0,0,2,2,24,0,0,0,0,0,7,6,0,0
"39","15660","Buck Lake",46.520515,-86.35387,650,16,0,4,5,0,5,1,49,0,1,0,0,0,0,1,0,3,0,0,0,2,5,0,1,0,0,0,30,0,1,0,0,1,2,13,80,67,0,1,0,0,3,2,35,0,0,1,0,0,17,6,0,0
"40","15660","Buck Lake",46.520515,-86.35387,675,10,0,7,2,0,3,0,68,0,0,0,0,0,1,0,0,3,1,1,0,1,5,0,0,0,0,0,10,0,0,0,0,7,1,4,62,83,1,3,2,1,0,1,21,0,0,1,0,0,25,7,0,0
"41","15660","Buck Lake",46.520515,-86.35387,685,8,0,6,1,0,3,1,42,0,0,0,0,0,1,1,0,5,0,0,0,1,3,1,0,0,0,0,19,0,0,0,0,5,4,13,53,77,2,2,1,0,6,1,27,0,0,2,0,0,40,9,0,1
"42","15660","Buck Lake",46.520515,-86.35387,715,4,2,7,7,0,3,0,36,0,1,0,0,0,1,0,0,8,0,0,0,0,5,0,0,0,0,0,8,0,0,1,0,6,1,8,83,124,1,1,0,0,4,4,27,0,0,0,0,0,25,4,0,0
"43","15660","Buck Lake",46.520515,-86.35387,730,1,0,5,3,0,0,0,28,0,0,0,0,0,0,1,0,3,0,0,0,0,9,0,0,0,1,0,44,2,1,3,0,6,0,2,68,85,0,1,0,0,4,2,21,0,0,0,0,0,17,15,0,0
"44","15660","Buck Lake",46.520515,-86.35387,740,6,0,3,4,0,8,1,33,0,0,0,1,0,1,2,0,4,0,0,0,1,6,0,0,0,1,0,22,3,0,2,0,7,0,6,71,115,2,3,0,0,4,4,36,0,0,0,0,0,2,6,0,0
"45","15660","Buck Lake",46.520515,-86.35387,760,5,0,3,1,0,5,0,19,0,0,0,0,0,5,1,0,2,1,0,0,1,6,0,0,0,0,0,17,2,0,6,0,10,3,13,109,87,1,0,1,0,2,0,30,1,0,0,0,0,0,5,0,0
"46","15660","Buck Lake",46.520515,-86.35387,785,5,0,1,1,0,4,3,39,0,1,0,0,0,2,0,0,2,0,0,0,0,5,1,0,0,1,1,12,2,1,1,1,10,0,18,89,97,2,2,0,0,2,4,17,0,0,0,0,0,1,10,0,0
"47","15660","Buck Lake",46.520515,-86.35387,810,1,0,0,5,0,0,0,35,1,0,0,0,0,3,1,1,6,0,0,0,0,2,0,0,0,0,0,5,2,2,0,0,3,1,10,158,92,0,0,0,0,0,2,7,0,0,1,0,0,1,5,0,0
"48","15660","Buck Lake",46.520515,-86.35387,830,2,1,8,5,0,4,0,40,0,1,2,0,0,2,1,0,2,0,0,0,0,5,1,0,0,0,0,2,2,1,0,0,8,12,45,63,114,0,3,0,0,1,2,13,0,0,0,0,0,0,7,0,0
"49","15660","Buck Lake",46.520515,-86.35387,865,0,0,0,2,0,4,0,19,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,15,79,11,166,1,1,1,0,0,9,13,0,0,0,0,0,0,7,0,0
"50","15660","Buck Lake",46.520515,-86.35387,880,2,0,0,4,0,17,0,17,0,2,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,4,0,7,34,17,6,159,0,0,0,0,4,4,36,0,0,1,0,0,0,4,0,0
